Language,Total Samples,Accuracy (%),Precision (%),Recall (%),F1-Score (%),MCC,ROC-AUC
Solidity,1800,78.94,75.32,86.11,80.35,0.5849,0.8747
Rust,1761,74.62,66.87,99.78,80.07,0.5650,0.8711
Vyper,1800,50.00,50.00,50.00,50.00,0.0000,0.5000
Go,1200,65.92,64.85,69.50,67.10,0.3192,0.7089
C++,1200,94.67,93.79,95.67,94.72,0.8935,0.9890
